,ANIO,MES,DIA,TMAX
11568,1987,12,7,18.5
11569,1987,12,8,27.6
11570,1987,12,9,31.4
11571,1987,12,10,33.5
11572,1987,12,11,27.6
11573,1987,12,12,28.2
11574,1987,12,13,29.5
11575,1987,12,14,32.0
11576,1987,12,15,31.0
11577,1987,12,16,26.2
11578,1987,12,17,25.0
11579,1987,12,18,25.3
11580,1987,12,19,28.6
11581,1987,12,20,20.2
11582,1987,12,21,24.0
11583,1987,12,22,27.8
11584,1987,12,23,31.5
11585,1987,12,24,29.5
11586,1987,12,25,28.5
11587,1987,12,26,24.8
11588,1987,12,27,25.5
11589,1987,12,28,24.6
11590,1987,12,29,23.7
11591,1987,12,30,29.0
11592,1987,12,31,33.2
11928,1988,12,1,29.2
11929,1988,12,2,34.3
11930,1988,12,3,38.3
11931,1988,12,4,37.6
11932,1988,12,5,31.6
11933,1988,12,6,30.5
